GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core,io.github.redouanebali.generation,TournamentBuilder,106,272,31,32,28,61,27,17,1,11
core,io.github.redouanebali.generation,GroupPhase,41,210,14,28,12,50,15,16,2,8
core,io.github.redouanebali.generation,KnockoutPhase,62,175,11,15,13,44,14,14,4,10
core,io.github.redouanebali.generation,PhaseType,0,21,0,0,0,4,0,1,0,1
core,io.github.redouanebali.model,Player,0,6,0,0,0,3,0,1,0,1
core,io.github.redouanebali.model,PoolRankingDetails,28,12,2,0,4,5,2,1,1,1
core,io.github.redouanebali.model,Score,99,10,8,0,20,2,8,1,4,1
core,io.github.redouanebali.model,Pool,328,56,25,1,61,13,22,4,9,4
core,io.github.redouanebali.model,Round,148,26,29,3,37,8,23,4,8,3
core,io.github.redouanebali.model,Stage,15,172,3,9,4,20,3,8,0,4
core,io.github.redouanebali.model,Game,39,320,16,92,6,65,15,45,1,5
core,io.github.redouanebali.model,Pool.new Object() {...},12,0,0,0,4,0,1,0,1,0
core,io.github.redouanebali.model,PlayerPair,58,110,4,8,16,28,6,8,2,6
core,io.github.redouanebali.model,PairType,0,21,0,0,0,4,0,1,0,1
core,io.github.redouanebali.model,SetScore,17,9,0,0,6,4,1,1,1,1
core,io.github.redouanebali.model,Gender,24,0,0,0,4,0,1,0,1,0
core,io.github.redouanebali.model,Tournament,37,20,2,2,6,4,5,3,4,2
core,io.github.redouanebali.model,PoolRanking,0,6,0,0,0,2,0,1,0,1
core,io.github.redouanebali.model,TeamSide,0,15,0,0,0,3,0,1,0,1
core,io.github.redouanebali.model,TournamentLevel,59,0,0,0,9,0,1,0,1,0
core,io.github.redouanebali.generation.draw,ManualDrawStrategy,134,29,29,9,31,10,20,6,4,3
core,io.github.redouanebali.generation.draw,AutomaticDrawStrategy,62,503,16,72,13,108,14,40,1,9
core,io.github.redouanebali.generation.draw,DrawStrategyFactory,3,13,0,2,1,3,1,2,1,1
core,io.github.redouanebali.generation.util.propagation,QualifierSlotPropagationStrategy,0,6,0,0,0,1,0,1,0,1
core,io.github.redouanebali.generation.util.propagation,KnockoutPropagationStrategy,2,26,1,3,1,4,1,2,0,1
core,io.github.redouanebali.generation.util.propagation,WinnerPropagationUtil,15,287,17,65,8,58,17,33,0,9
core,io.github.redouanebali,App,7,0,0,0,3,0,2,0,2,0
core,io.github.redouanebali.generation.util,TournamentStageUtil,42,87,21,13,6,12,15,8,3,3
core,io.github.redouanebali.generation.util,ByePlacementUtil,144,231,42,52,42,59,28,27,4,4
core,io.github.redouanebali.generation.util,SeedPlacementUtil,79,547,34,84,19,121,27,43,1,10
core,io.github.redouanebali.generation.util,RandomPlacementUtil.Slot,0,9,0,0,0,4,0,1,0,1
core,io.github.redouanebali.generation.util,RandomPlacementUtil,7,348,11,65,4,84,12,34,1,7
core,io.github.redouanebali.generation.util,StaggeredSeedPlacementUtil,18,161,9,23,7,41,10,11,1,4
core,io.github.redouanebali.model.converter,TournamentConfigConverter,48,0,6,0,15,0,7,0,4,0
core,io.github.redouanebali.model.format,TournamentConfig,28,0,4,0,5,0,4,0,1,0
core,io.github.redouanebali.model.format,DrawMath,43,12,11,3,14,1,8,2,2,1
core,io.github.redouanebali.model.format,DrawMode,0,15,0,0,0,3,0,1,0,1
core,io.github.redouanebali.model.format,TournamentFormat,0,21,0,0,0,4,0,1,0,1
